n, Insert, Merge
370,0.129485,0.374926
371,0.13438199,0.081831
372,0.123319,0.069932
373,0.12728,0.070586
374,0.131845,0.07007901
375,0.128095,0.069256
376,0.124519,0.072011
377,0.132636,0.070669
378,0.131337,0.071155
379,0.131519,0.071377
380,0.135188,0.070798
381,0.133058,0.071335
382,0.129402,0.071875
383,0.13846,0.072056
384,0.136578,0.072575
385,0.128426,0.07219
386,0.131724,0.072136
387,0.138588,0.073674
388,0.12885199,0.073294
389,0.139671,0.074673
390,0.145275,0.073273
391,0.137084,0.073014
392,0.142427,0.073612
393,0.14315601,0.074163
394,0.141432,0.073486
395,0.151568,0.075004
396,0.141603,0.074673
397,0.13105401,0.07487
398,0.14805,0.074977
399,0.144254,0.07993
400,0.14384799,0.075581
401,0.139112,0.074977
402,0.157977,0.076669
403,0.14663801,0.076608
404,0.13927,0.076865
405,0.147149,0.075748
406,0.168312,0.076536
407,0.144378,0.077635
408,0.147186,0.076084
409,0.15484399,0.076943
410,0.143921,0.077019
411,0.153042,0.076883
412,0.151522,0.076819
413,0.15412001,0.07691801
414,0.15207,0.078126
415,0.159853,0.07919
416,0.155477,0.078038
417,0.156335,0.078655
418,0.17804,0.087146
419,0.15665101,0.080276
420,0.160941,0.079768
421,0.148959,0.078872
422,0.176645,0.094956
423,0.157145,0.080091
424,0.161133,0.07982
425,0.154606,0.080617
426,0.158519,0.079842
427,0.167059,0.080527
428,0.170324,0.096004
429,0.170567,0.081376
430,0.181865,0.080689
431,0.165017,0.081216
432,0.164803,0.081857
433,0.16999301,0.081331
434,0.16879,0.082079
435,0.176333,0.081785
436,0.17186899,0.082969
437,0.176843,0.083111
438,0.177567,0.083832
439,0.191225,0.083292
440,0.171356,0.083372
441,0.17381199,0.082608
442,0.17536,0.082448
443,0.169635,0.085375
444,0.18194,0.085586
445,0.181713,0.084578
446,0.174245,0.084145
447,0.18321,0.084185
448,0.181616,0.084335
449,0.190862,0.08525699
450,0.195704,0.08527301
451,0.192877,0.08548401
452,0.176982,0.085326
453,0.185556,0.08631001
454,0.185339,0.085388
455,0.179767,0.08657
456,0.182381,0.098308
457,0.190107,0.08642
458,0.181986,0.08628
459,0.18581,0.087452
460,0.191802,0.088018
461,0.191385,0.087778
